parcel_id,observed_conversion_5yr,synthetic_conversion_probability,conversion_type
P0000363,0,0.1352,none
P0000364,0,0.1064,none
P0000365,0,0.0501,none
P0000366,0,0.0051,none
P0000367,0,0.0039,none
P0000368,0,0.0167,none
P0000369,0,0.0303,none
P0000370,0,0.0043,none
P0000371,0,0.0119,none
P0000372,0,0.0371,none
P0000373,0,0.0015,none
P0000374,0,0.0059,none
P0000375,0,0.0123,none
P0000376,0,0.0042,none
P0000377,0,0.1166,none
P0000378,0,0.0591,none
P0000379,0,0.0072,none
P0000380,0,0.067,none
P0000381,0,0.0096,none
P0000382,0,0.0375,none
P0000383,0,0.0141,none
P0000384,0,0.0154,none
P0000385,0,0.0601,none
P0000386,0,0.0013,none
P0000387,0,0.0106,none
P0000388,0,0.0156,none
P0000389,0,0.0286,none
P0000390,0,0.0162,none
P0000391,0,0.0035,none
P0000392,0,0.0651,none
P0000393,0,0.0267,none
P0000394,0,0.0057,none
P0000395,0,0.0252,none
P0000396,0,0.0404,none
P0000397,0,0.0088,none
P0000398,0,0.0177,none
P0000399,0,0.0147,none
P0000400,0,0.0319,none
P0000401,0,0.0037,none
P0000402,0,0.0034,none
P0000403,0,0.0059,none
P0000404,0,0.0015,none
P0000405,0,0.0119,none
P0000406,0,0.0307,none
P0000407,0,0.0068,none
P0000408,0,0.0745,none
P0000409,0,0.0157,none
P0000410,0,0.0051,none
P0000411,0,0.0074,none
P0000412,0,0.0066,none
P0000413,0,0.0048,none
P0000414,0,0.0171,none
P0000415,0,0.004,none
P0000416,0,0.0074,none
P0000417,0,0.0064,none
P0000418,0,0.003,none
P0000419,0,0.0176,none
P0000420,0,0.003,none
P0000421,0,0.0126,none
P0000422,0,0.0201,none
P0000423,0,0.0005,none
P0000424,0,0.0069,none
P0000425,0,0.042,none
P0000426,0,0.0043,none
P0000427,0,0.0469,none
P0000428,0,0.0032,none
P0000429,0,0.0122,none
P0000430,0,0.004,none
P0000431,0,0.0125,none
P0000432,0,0.0049,none
P0000433,0,0.0087,none
P0000434,0,0.0062,none
P0000435,0,0.0081,none
P0000436,0,0.0178,none
P0000437,0,0.0026,none
P0000438,0,0.0058,none
P0000439,0,0.0032,none
P0000440,0,0.0131,none
P0000441,0,0.0113,none
P0000442,0,0.0134,none
P0000443,0,0.0107,none
P0000444,0,0.0195,none
P0000445,0,0.0418,none
P0000446,0,0.0016,none
P0000447,0,0.0059,none
P0000448,1,0.0824,industrial
P0000449,0,0.0076,none
P0000450,0,0.0023,none
P0000451,0,0.0443,none
P0000452,0,0.0022,none
P0000453,0,0.0012,none
P0000454,0,0.0351,none
P0000455,0,0.0252,none
P0000456,0,0.0083,none
P0000457,0,0.012,none
P0000458,0,0.009,none
P0000459,0,0.0163,none
P0000460,0,0.0007,none
P0000461,0,0.0206,none
P0000462,0,0.0058,none
P0000463,0,0.0023,none
P0000464,0,0.0353,none
P0000465,0,0.0011,none
P0000466,1,0.02,solar
P0000467,0,0.0035,none
P0000468,0,0.0158,none
P0000469,0,0.0055,none
P0000470,0,0.0011,none
P0000471,0,0.0082,none
P0000472,0,0.0021,none
P0000473,0,0.0087,none
P0000474,0,0.0067,none
P0000475,0,0.0196,none
P0000476,0,0.016,none
P0000477,0,0.005,none
P0000478,0,0.006,none
P0000479,0,0.0228,none
P0000480,0,0.0008,none
P0000481,0,0.0039,none
P0000482,0,0.0049,none
P0000483,0,0.0084,none
P0000484,0,0.0005,none
P0000485,0,0.015,none
P0000486,0,0.0076,none
P0000487,0,0.0136,none
P0000488,0,0.0055,none
P0000489,0,0.01,none
P0000490,0,0.0102,none
P0000491,0,0.0312,none
P0000492,0,0.0033,none
P0000493,0,0.0455,none
P0000494,0,0.0121,none
P0000495,0,0.0169,none
P0000496,0,0.012,none
P0000497,0,0.0246,none
P0000498,0,0.0098,none
P0000499,0,0.0084,none
P0000500,0,0.0037,none
P0000501,0,0.009,none
P0000502,0,0.0101,none
P0000503,0,0.0021,none
P0000504,0,0.0015,none
P0000505,0,0.0078,none
P0000506,0,0.0085,none
P0000507,0,0.0017,none
P0000508,0,0.0008,none
P0000509,0,0.0063,none
P0000510,0,0.0051,none
P0000511,0,0.0021,none
P0000512,0,0.0174,none
P0000513,0,0.009,none
P0000514,0,0.0058,none
P0000515,0,0.0446,none
P0000516,0,0.0027,none
P0000517,0,0.0068,none
P0000518,0,0.0003,none
P0000519,1,0.9968,solar
P0000520,0,0.0027,none
P0000521,0,0.0007,none
P0000522,0,0.0011,none
P0000523,0,0.0007,none
P0000524,0,0.0109,none
P0000525,0,0.0124,none
P0000526,0,0.0013,none
P0000527,1,0.1841,data_center
P0000528,0,0.0032,none
P0000529,0,0.0176,none
P0000530,0,0.037,none
P0000531,1,0.9199,data_center
P0000532,0,0.0175,none
P0000533,0,0.0052,none
P0000534,0,0.008,none
P0000535,0,0.0037,none
P0000536,0,0.0103,none
P0000537,0,0.0366,none
P0000538,0,0.0206,none
P0000539,0,0.0068,none
P0000540,0,0.0051,none
P0000541,0,0.017,none
P0000542,0,0.0069,none
P0000543,0,0.0057,none
P0000544,0,0.005,none
P0000545,0,0.0046,none
P0000546,0,0.0087,none
P0000547,0,0.0061,none
P0000548,0,0.0531,none
P0000549,0,0.0078,none
P0000550,0,0.0034,none
P0000551,0,0.0043,none
P0000552,0,0.0079,none
P0000553,0,0.0026,none
P0000554,0,0.0036,none
P0000555,0,0.0073,none
P0000556,0,0.0031,none
P0000557,0,0.0027,none
P0000558,0,0.0018,none
P0000559,0,0.005,none
P0000560,0,0.0021,none
P0000561,0,0.0013,none
P0000562,0,0.0134,none
P0000563,0,0.0077,none
P0000564,0,0.0092,none
P0000565,0,0.0094,none
P0000566,0,0.0099,none
P0000567,0,0.0022,none
P0000568,0,0.0096,none
P0000569,0,0.0013,none
P0000570,0,0.0033,none
P0000571,0,0.0085,none
P0000572,0,0.0117,none
P0000573,0,0.002,none
P0000574,0,0.0113,none
P0000575,0,0.0135,none
P0000576,0,0.0098,none
P0000577,0,0.0086,none
P0000578,0,0.0246,none
P0000579,0,0.0003,none
P0000580,0,0.0503,none
P0000581,0,0.0073,none
P0000582,0,0.0123,none
P0000583,0,0.0058,none
P0000584,0,0.0023,none
P0000585,0,0.0156,none
P0000586,0,0.0076,none
P0000587,0,0.0011,none
P0000588,0,0.0077,none
P0000589,0,0.0174,none
P0000590,0,0.0295,none
P0000591,0,0.0149,none
P0000592,0,0.012,none
P0000593,0,0.0053,none
P0000594,0,0.006,none
P0000595,0,0.1013,none
P0000596,0,0.0014,none
P0000597,0,0.2552,none
P0000598,0,0.0081,none
P0000599,0,0.0226,none
P0000600,0,0.0065,none
P0000601,0,0.0092,none
P0000602,0,0.0063,none
P0000603,0,0.0032,none
P0000604,0,0.021,none
P0000605,0,0.0222,none
P0000606,0,0.0077,none
P0000607,0,0.0012,none
P0000608,0,0.007,none
P0000609,0,0.0054,none
P0000610,0,0.0049,none
P0000611,0,0.0136,none
P0000612,1,0.0261,solar
P0000613,0,0.0066,none
P0000614,0,0.0048,none
P0000615,0,0.0022,none
P0000616,0,0.0008,none
P0000617,0,0.0047,none
P0000618,0,0.0004,none
P0000619,0,0.0098,none
P0000620,0,0.0019,none
P0000621,0,0.0061,none
P0000622,0,0.1564,none
P0000623,0,0.0009,none
P0000624,0,0.0022,none
P0000625,0,0.0077,none
P0000626,0,0.008,none
P0000627,0,0.0057,none
P0000628,0,0.0169,none
P0000629,0,0.0112,none
P0000630,0,0.001,none
P0000631,0,0.0032,none
P0000632,0,0.0012,none
P0000633,0,0.0123,none
P0000634,0,0.01,none
P0000635,0,0.0006,none
P0000636,0,0.0149,none
P0000637,0,0.0167,none
P0000638,0,0.0056,none
P0000639,0,0.0111,none
P0000640,0,0.0062,none
P0000641,0,0.0082,none
P0000642,0,0.0037,none
P0000643,0,0.0003,none
P0000644,0,0.0254,none
P0000645,0,0.0081,none
P0000646,0,0.0057,none
P0000647,0,0.0853,none
P0000648,0,0.0048,none
P0000649,0,0.004,none
P0000650,0,0.0089,none
P0000651,0,0.0013,none
P0000652,0,0.0094,none
P0000653,0,0.011,none
P0000654,0,0.0057,none
P0000655,0,0.0059,none
P0000656,0,0.0149,none
P0000657,0,0.0196,none
P0000658,0,0.0009,none
P0000659,0,0.0082,none
P0000660,0,0.0307,none
P0000661,0,0.0017,none
P0000662,0,0.0076,none
P0000663,0,0.006,none
P0000664,0,0.0056,none
P0000665,0,0.002,none
P0000666,0,0.0574,none
P0000667,0,0.0114,none
P0000668,0,0.0,none
P0000669,0,0.0049,none
P0000670,0,0.0235,none
P0000671,0,0.0013,none
P0000672,0,0.0306,none
P0000673,0,0.0306,none
P0000674,0,0.0039,none
P0000675,0,0.0047,none
P0000676,0,0.0041,none
P0000677,0,0.0099,none
P0000678,0,0.014,none
P0000679,0,0.0073,none
P0000680,0,0.0018,none
P0000681,0,0.2033,none
P0000682,0,0.0116,none
P0000683,0,0.1424,none
P0000684,0,0.0076,none
P0000685,0,0.0058,none
P0000686,0,0.0037,none
P0000687,0,0.0048,none
P0000688,0,0.0021,none
P0000689,0,0.0151,none
P0000690,0,0.0535,none
P0000691,0,0.0008,none
P0000692,0,0.011,none
P0000693,0,0.0029,none
P0000694,0,0.0024,none
P0000695,0,0.0025,none
P0000696,0,0.0029,none
P0000697,0,0.0102,none
P0000698,0,0.0028,none
P0000699,0,0.0053,none
P0000700,0,0.0102,none
P0000701,0,0.0013,none
P0000702,0,0.0151,none
P0000703,0,0.0032,none
P0000704,0,0.0017,none
P0000705,0,0.0065,none
P0000706,0,0.0057,none
P0000707,0,0.009,none
P0000708,0,0.0051,none
P0000709,0,0.0064,none
P0000710,0,0.0185,none
P0000711,0,0.0037,none
P0000712,0,0.0713,none
P0000713,0,0.0046,none
P0000714,0,0.0019,none
P0000715,0,0.0066,none
P0000716,0,0.0106,none
P0000717,0,0.0102,none
P0000718,0,0.0137,none
P0000719,0,0.0034,none
P0000720,0,0.0124,none
P0000721,0,0.1437,none
P0000722,0,0.028,none
P0000723,0,0.0151,none
P0000724,0,0.0101,none
P0000725,0,0.011,none
P0000726,0,0.0019,none
P0000727,0,0.0075,none
P0000728,0,0.0036,none
P0000729,0,0.0025,none
P0000730,0,0.085,none
P0000731,0,0.0032,none
P0000732,0,0.0018,none
P0000733,0,0.0105,none
P0000734,0,0.5226,none
P0000735,0,0.0185,none
P0000736,0,0.0074,none
P0000737,0,0.0105,none
P0000738,0,0.0009,none
P0000739,0,0.0001,none
P0000740,0,0.0068,none
P0000741,0,0.0068,none
P0000742,0,0.0107,none
P0000743,0,0.001,none
P0000744,0,0.0035,none
P0000745,0,0.0118,none
P0000746,0,0.0024,none
P0000747,0,0.0029,none
P0000748,0,0.0141,none
P0000749,0,0.0161,none
P0000750,1,0.0099,industrial
P0000751,1,0.0051,industrial
P0000752,0,0.0065,none
P0000753,0,0.0061,none
P0000754,0,0.0101,none
P0000755,0,0.1054,none
P0000756,0,0.0579,none
P0000757,0,0.0054,none
P0000758,0,0.0056,none
P0000759,0,0.0044,none
P0000760,0,0.0106,none
P0000761,0,0.0213,none
P0000762,0,0.0036,none
P0000763,0,0.0018,none
P0000764,0,0.074,none
P0000765,0,0.0214,none
P0000766,0,0.0089,none
P0000767,0,0.0006,none
P0000768,0,0.0012,none
P0000769,0,0.0161,none
P0000770,0,0.0063,none
P0000771,0,0.0058,none
P0000772,0,0.0015,none
P0000773,0,0.0109,none
P0000774,0,0.0575,none
P0000775,0,0.0231,none
P0000776,0,0.0017,none
P0000777,0,0.1495,none
P0000778,0,0.0077,none
P0000779,0,0.0303,none
P0000780,0,0.0175,none
P0000781,0,0.0083,none
P0000782,0,0.0019,none
P0000783,0,0.006,none
P0000784,0,0.0188,none
P0000785,0,0.0043,none
P0000786,0,0.0043,none
P0000787,0,0.0111,none
P0000788,0,0.0068,none
P0000789,0,0.0063,none
P0000790,0,0.0476,none
P0000791,0,0.0083,none
P0000792,0,0.0006,none
P0000793,0,0.0226,none
P0000794,0,0.0138,none
P0000795,0,0.0075,none
P0000796,0,0.0033,none
P0000797,0,0.003,none
P0000798,0,0.0067,none
P0000799,0,0.0006,none
P0000800,0,0.0012,none
P0000801,0,0.024,none
P0000802,0,0.0396,none
P0000803,0,0.0048,none
P0000804,0,0.0208,none
P0000805,0,0.0178,none
P0000806,0,0.055,none
P0000807,0,0.0245,none
P0000808,0,0.0031,none
P0000809,0,0.0058,none
P0000810,0,0.0783,none
P0000811,1,0.0392,data_center
P0000812,0,0.0091,none
P0000813,0,0.0066,none
P0000814,0,0.0483,none
P0000815,0,0.0013,none
P0000816,0,0.0007,none
P0000817,1,0.0374,industrial
P0000818,0,0.0057,none
P0000819,0,0.0391,none
P0000820,0,0.0189,none
P0000821,0,0.0067,none
P0000822,0,0.0077,none
P0000823,0,0.0034,none
P0000824,0,0.0977,none
P0000825,0,0.0709,none
P0000826,0,0.0292,none
P0000827,0,0.0327,none
P0000828,0,0.0217,none
P0000829,0,0.007,none
P0000830,0,0.0036,none
P0000831,0,0.0261,none
P0000832,0,0.0024,none
P0000833,0,0.0114,none
P0000834,0,0.1168,none
P0000835,0,0.009,none
P0000836,0,0.1942,none
P0000837,0,0.0106,none
P0000838,0,0.004,none
P0000839,1,0.1741,data_center
P0000840,0,0.0202,none
P0000841,1,0.0237,industrial
P0000842,0,0.0073,none
P0000843,0,0.0013,none
P0000844,0,0.0109,none
P0000845,0,0.0094,none
P0000846,0,0.0028,none
P0000847,0,0.0032,none
P0000848,0,0.008,none
P0000849,0,0.0044,none
P0000850,0,0.0635,none
P0000851,0,0.0127,none
P0000852,0,0.1187,none
P0000853,0,0.0014,none
P0000854,0,0.0072,none
P0000855,0,0.0617,none
P0000856,0,0.0018,none
P0000857,0,0.0227,none
P0000858,0,0.0057,none
P0000859,0,0.0017,none
P0000860,0,0.0545,none
P0000861,0,0.0731,none
P0000862,0,0.1806,none
P0000863,0,0.0118,none
P0000864,0,0.006,none
P0000865,0,0.0103,none
P0000866,0,0.039,none
P0000867,0,0.0093,none
P0000868,0,0.0892,none
P0000869,0,0.0638,none
P0000870,0,0.0647,none
P0000871,0,0.0438,none
P0000872,0,0.0205,none
P0000873,0,0.0073,none
P0000874,0,0.0343,none
P0000875,0,0.0111,none
P0000876,0,0.0206,none
P0000877,0,0.0376,none
P0000878,0,0.0532,none
P0000879,0,0.0038,none
P0000880,0,0.1048,none
P0000881,0,0.021,none
P0000882,0,0.0107,none
P0000883,0,0.0006,none
P0000884,0,0.0011,none
P0000885,0,0.0251,none
P0000886,0,0.0115,none
P0000887,0,0.0199,none
P0000888,0,0.034,none
P0000889,0,0.0285,none
P0000890,0,0.0146,none
P0000891,0,0.0263,none
P0000892,0,0.0176,none
P0000893,0,0.0017,none
P0000894,0,0.0278,none
P0000895,0,0.0185,none
P0000896,0,0.0139,none
P0000897,0,0.1374,none
P0000898,0,0.7024,none
P0000899,0,0.0077,none
P0000900,0,0.0175,none
P0000901,0,0.0535,none
P0000902,0,0.0017,none
P0000903,0,0.0121,none
P0000904,0,0.0018,none
P0000905,0,0.0032,none
P0000906,0,0.0089,none
P0000907,0,0.0174,none
P0000908,0,0.0196,none
P0000909,0,0.0011,none
P0000910,0,0.0054,none
P0000911,0,0.0015,none
P0000912,0,0.0063,none
P0000913,0,0.0269,none
P0000914,0,0.0112,none
P0000915,0,0.0096,none
P0000916,0,0.002,none
P0000917,0,0.0448,none
P0000918,0,0.1385,none
P0000919,1,0.1977,industrial
P0000920,0,0.0009,none
P0000921,0,0.0158,none
P0000922,0,0.0145,none
P0000923,1,0.5745,data_center
P0000924,1,0.0134,data_center
P0000925,0,0.0196,none
P0000926,0,0.0243,none
P0000927,0,0.0177,none
P0000928,0,0.0579,none
P0000929,0,0.0028,none
P0000930,0,0.1098,none
P0000931,0,0.0202,none
P0000932,0,0.0103,none
P0000933,0,0.1101,none
P0000934,0,0.0026,none
P0000935,0,0.0114,none
P0000936,0,0.1186,none
P0000937,0,0.0104,none
P0000938,0,0.0049,none
P0000939,0,0.0242,none
P0000940,0,0.0183,none
P0000941,0,0.0014,none
P0000942,0,0.016,none
P0000943,0,0.0172,none
P0000944,0,0.0063,none
P0000945,0,0.0026,none
P0000946,0,0.0045,none
P0000947,0,0.0014,none
P0000948,0,0.0932,none
P0000949,0,0.0072,none
P0000950,0,0.0296,none
P0000951,0,0.0794,none
P0000952,0,0.0109,none
P0000953,0,0.0055,none
P0000954,0,0.0139,none
P0000955,0,0.0092,none
P0000956,0,0.0233,none
P0000957,0,0.0135,none
P0000958,0,0.0643,none
P0000959,0,0.0053,none
P0000960,0,0.0132,none
P0000961,0,0.0077,none
P0000962,0,0.0033,none
P0000963,0,0.0265,none
P0000964,0,0.0026,none
P0000965,0,0.0065,none
P0000966,0,0.022,none
P0000967,0,0.1789,none
P0000968,0,0.0107,none
P0000969,0,0.0282,none
P0000970,0,0.21,none
P0000971,0,0.0012,none
P0000972,0,0.0155,none
P0000973,0,0.0548,none
P0000974,0,0.004,none
P0000975,0,0.0133,none
P0000976,0,0.0921,none
P0000977,0,0.0074,none
P0000978,0,0.0502,none
P0000979,0,0.0095,none
P0000980,0,0.0042,none
P0000981,0,0.0274,none
P0000982,0,0.0042,none
P0000983,1,0.0018,industrial
P0000984,0,0.006,none
P0000985,0,0.0035,none
P0000986,0,0.1108,none
P0000987,0,0.0043,none
P0000988,0,0.0072,none
P0000989,0,0.0338,none
P0000990,1,0.0267,data_center
P0000991,0,0.0066,none
P0000992,0,0.0066,none
P0000993,0,0.0332,none
P0000994,0,0.0004,none
P0000995,0,0.0333,none
P0000996,0,0.0034,none
P0000997,0,0.0363,none
P0000998,0,0.5516,none
