transaction_id,parcel_id,sale_date,sale_price,price_per_acre,sale_type
T00000058,P0001422,2022-08-15,504262.59,7156.55,arms_length
T00000059,P0001812,2023-05-15,267306.27,6246.56,arms_length
T00000060,P0000496,2020-12-15,332469.69,6793.5,arms_length
T00000061,P0000496,2022-11-15,302240.08,6175.8,arms_length
T00000062,P0001095,2019-01-15,451556.09,7623.28,arms_length
T00000063,P0001095,2020-12-15,331304.68,5593.17,arms_length
T00000064,P0003115,2020-07-15,2023171.03,8670.6,arms_length
T00000065,P0003115,2024-10-15,2900511.97,12430.58,arms_length
T00000066,P0002070,2022-01-15,584360.28,4750.16,arms_length
T00000067,P0000333,2019-01-15,636345.34,6578.8,arms_length
T00000068,P0002204,2025-06-15,498682.81,7031.21,arms_length
T00000069,P0001492,2023-06-15,841821.78,7847.55,arms_length
T00000070,P0001492,2024-07-15,734092.72,6843.29,arms_length
T00000071,P0001492,2025-06-15,959420.56,8943.82,arms_length
T00000072,P0000257,2021-01-15,1096766.17,6963.52,arms_length
T00000073,P0000257,2023-02-15,957841.44,6081.47,arms_length
T00000074,P0000901,2020-11-15,1239881.34,6786.63,arms_length
T00000075,P0000901,2023-10-15,1388430.61,7599.73,arms_length
T00000076,P0000901,2024-08-15,1617963.93,8856.11,arms_length
T00000077,P0003028,2019-04-15,762311.5,8361.21,arms_length
T00000078,P0000539,2021-05-15,563476.17,7900.73,arms_length
T00000079,P0000539,2024-02-15,663991.0,9310.09,arms_length
T00000080,P0001290,2023-09-15,910065.04,6941.53,arms_length
T00000081,P0001749,2023-01-15,910037.16,8678.59,arms_length
T00000082,P0001749,2024-12-15,1040441.0,9922.19,arms_length
T00000083,P0001749,2025-07-15,908614.42,8665.02,arms_length
T00000084,P0002969,2020-05-15,1130665.28,7095.62,arms_length
T00000085,P0002969,2022-12-15,977767.63,6136.09,arms_length
T00000086,P0002969,2024-08-15,1244817.09,7811.99,arms_length
T00000087,P0000643,2020-04-15,323284.52,6641.99,arms_length
T00000088,P0000643,2025-11-15,359918.43,7394.64,arms_length
T00000089,P0002315,2020-12-15,1453405.03,7989.25,arms_length
T00000090,P0001591,2022-02-15,2914373.26,8878.17,arms_length
T00000091,P0001360,2024-09-15,971522.16,9536.23,arms_length
T00000092,P0002189,2019-05-15,268000.42,7455.69,arms_length
T00000093,P0002189,2020-11-15,262345.06,7298.36,arms_length
T00000094,P0001412,2020-02-15,1160254.6,6964.81,arms_length
T00000095,P0001412,2024-01-15,1088579.97,6534.56,arms_length
T00000096,P0001412,2025-08-15,1476913.45,8865.66,arms_length
T00000097,P0003044,2021-12-15,540390.53,7485.92,arms_length
T00000098,P0003044,2024-04-15,566214.87,7843.66,arms_length
T00000099,P0003044,2025-11-15,566904.85,7853.21,arms_length
T00000100,P0000322,2020-07-15,2727260.19,5485.03,arms_length
T00000101,P0000322,2021-05-15,3492512.57,7024.1,arms_length
T00000102,P0000322,2024-03-15,3341309.72,6720.0,arms_length
T00000103,P0001136,2023-01-15,418496.86,6321.79,arms_length
T00000104,P0001136,2024-01-15,370769.44,5600.82,arms_length
T00000105,P0001136,2025-02-15,390823.04,5903.75,arms_length
T00000106,P0001804,2022-03-15,1583010.85,9203.93,arms_length
T00000107,P0001560,2020-12-15,851228.17,7478.03,arms_length
T00000108,P0001560,2021-07-15,740016.15,6501.03,arms_length
T00000109,P0000568,2020-10-15,751249.65,7392.58,arms_length
T00000110,P0000568,2021-07-15,707294.55,6960.04,arms_length
T00000111,P0000568,2022-02-15,763976.56,7517.81,arms_length
T00000112,P0000512,2022-01-15,1673708.82,8310.75,arms_length
T00000113,P0000512,2023-12-15,1260927.47,6261.1,arms_length
T00000114,P0000512,2024-07-15,1764391.11,8761.04,arms_length
T00000115,P0000252,2020-01-15,2824114.57,6607.03,arms_length
T00000116,P0000252,2021-09-15,3465033.55,8106.46,arms_length
T00000117,P0000252,2023-03-15,3009349.45,7040.38,arms_length
T00000118,P0000258,2022-07-15,2788272.64,7288.25,arms_length
T00000119,P0000258,2024-10-15,3624070.25,9472.94,arms_length
T00000120,P0000258,2025-09-15,3031735.01,7924.63,arms_length
T00000121,P0000533,2019-01-15,215094.59,6799.43,arms_length
T00000122,P0000533,2020-03-15,214978.04,6795.75,arms_length
T00000123,P0001473,2021-12-15,5453945.29,6177.05,arms_length
T00000124,P0001798,2021-11-15,693004.73,7263.84,arms_length
T00000125,P0001798,2023-10-15,843885.88,8845.33,arms_length
T00000126,P0003136,2019-10-15,690720.65,4674.89,arms_length
T00000127,P0003136,2021-09-15,892196.29,6038.5,arms_length
T00000128,P0003136,2022-07-15,803255.88,5436.54,arms_length
T00000129,P0000565,2024-05-15,634464.16,7407.84,arms_length
T00000130,P0001799,2020-04-15,471090.97,7651.95,arms_length
T00000131,P0001799,2024-05-15,584405.1,9492.52,arms_length
T00000132,P0001799,2025-11-15,608398.71,9882.25,arms_length
T00000133,P0001426,2021-03-15,374964.96,5995.45,arms_length
T00000134,P0001426,2022-04-15,359812.64,5753.18,arms_length
T00000135,P0001211,2020-11-15,1440813.03,6903.68,arms_length
T00000136,P0001211,2023-02-15,1750968.6,8389.8,arms_length
T00000137,P0001211,2025-08-15,1804826.42,8647.86,arms_length
T00000138,P0001838,2020-02-15,399024.5,5834.58,arms_length
T00000139,P0001838,2021-11-15,678600.47,9922.57,arms_length
T00000140,P0000868,2023-12-15,4378542.61,9174.29,arms_length
T00000141,P0000868,2024-08-15,3472601.71,7276.09,arms_length
T00000142,P0000135,2023-07-15,1287889.85,8904.74,arms_length
T00000143,P0000264,2019-02-15,939403.36,5971.53,arms_length
T00000144,P0000264,2021-07-15,1267056.66,8054.33,arms_length
T00000145,P0000264,2024-06-15,867064.1,5511.68,arms_length
T00000146,P0001265,2021-05-15,614225.75,5996.67,arms_length
T00000147,P0001265,2022-07-15,750134.25,7323.54,arms_length
T00000148,P0000890,2022-03-15,1645487.88,8903.04,arms_length
T00000149,P0002852,2022-01-15,478213.86,6799.09,arms_length
T00000150,P0002852,2024-12-15,449127.07,6385.54,arms_length
T00000151,P0001432,2020-01-15,1692174.52,7498.32,arms_length
T00000152,P0001432,2024-10-15,2201578.06,9755.58,arms_length
T00000153,P0001432,2025-11-15,1867148.12,8273.66,arms_length
T00000154,P0000300,2020-08-15,850631.27,8952.08,arms_length
T00000155,P0000300,2021-06-15,708864.2,7460.12,arms_length
T00000156,P0002012,2024-02-15,1410605.98,9566.86,arms_length
T00000157,P0002765,2022-04-15,2016824.44,7512.1,arms_length
T00000158,P0001724,2019-12-15,1047925.74,6480.13,arms_length
T00000159,P0000431,2019-05-15,610505.69,6846.22,arms_length
T00000160,P0000431,2024-04-15,987563.21,11074.55,arms_length
T00000161,P0001488,2021-06-15,480034.22,7312.03,arms_length
T00000162,P0001488,2024-08-15,550245.43,8381.51,arms_length
T00000163,P0001503,2019-09-15,594158.4,5821.68,arms_length
T00000164,P0002906,2025-02-15,287917.99,6352.76,arms_length
T00000165,P0002316,2024-02-15,1189004.81,7673.14,arms_length
T00000166,P0002263,2023-04-15,917460.37,7010.39,arms_length
T00000167,P0002263,2025-04-15,990697.55,7570.0,arms_length
T00000168,P0001386,2019-06-15,710036.95,5282.92,arms_length
T00000169,P0001386,2024-10-15,969480.09,7213.27,arms_length
T00000170,P0001365,2019-01-15,679312.26,5546.63,arms_length
T00000171,P0001365,2020-10-15,868617.59,7092.33,arms_length
T00000172,P0001299,2023-03-15,755167.99,10650.98,arms_length
T00000173,P0001868,2022-01-15,753894.74,6612.79,arms_length
T00000174,P0000930,2021-02-15,2762604.49,6864.18,arms_length
T00000175,P0000369,2021-01-15,532478.56,6674.49,arms_length
T00000176,P0000369,2024-02-15,475035.63,5954.45,arms_length
T00000177,P0001789,2019-03-15,332175.82,7339.38,arms_length
T00000178,P0003129,2023-06-15,688008.06,7777.83,arms_length
T00000179,P0003129,2024-01-15,883963.88,9993.08,arms_length
T00000180,P0003001,2020-01-15,1143170.09,7007.22,arms_length
T00000181,P0003001,2022-09-15,1180183.95,7234.1,arms_length
T00000182,P0003001,2024-09-15,1757917.82,10775.4,arms_length
T00000183,P0001081,2021-05-15,1653885.84,5354.05,arms_length
T00000184,P0001081,2023-02-15,1991910.62,6448.32,arms_length
T00000185,P0001081,2025-01-15,2623686.85,8493.54,arms_length
T00000186,P0000595,2022-08-15,2731924.39,6897.65,arms_length
T00000187,P0000970,2023-07-15,1777795.25,6913.61,arms_length
T00000188,P0000970,2025-09-15,2579467.11,10031.21,arms_length
T00000189,P0001539,2019-01-15,782903.35,5432.06,arms_length
T00000190,P0001539,2022-02-15,1020994.34,7084.02,arms_length
T00000191,P0002324,2023-08-15,1860495.4,9445.51,arms_length
T00000192,P0002888,2022-05-15,1224194.59,7866.94,arms_length
T00000193,P0002888,2025-07-15,846671.14,5440.89,arms_length
T00000194,P0000355,2022-01-15,453157.94,5622.35,arms_length
T00000195,P0000355,2024-02-15,682925.31,8473.08,arms_length
T00000196,P0000175,2024-08-15,1376632.56,8626.91,arms_length
T00000197,P0000175,2025-10-15,1294279.77,8110.83,arms_length
T00000198,P0001403,2019-09-15,252947.47,5599.53,arms_length
T00000199,P0001403,2020-01-15,316216.78,7000.12,arms_length
T00000200,P0001403,2025-05-15,383085.91,8480.41,arms_length
T00000201,P0000507,2021-09-15,469560.3,8512.07,arms_length
T00000202,P0002823,2019-04-15,958428.95,6438.61,arms_length
T00000203,P0002823,2020-11-15,1221805.87,8207.94,arms_length
T00000204,P0002823,2023-09-15,1151908.56,7738.38,arms_length
T00000205,P0001557,2020-01-15,285096.04,6067.99,arms_length
T00000206,P0001698,2019-02-15,2107360.53,6008.84,arms_length
T00000207,P0001698,2024-07-15,3334705.51,9508.45,arms_length
T00000208,P0000573,2025-01-15,793269.63,8530.59,arms_length
T00000209,P0001573,2021-07-15,968899.56,4946.19,arms_length
T00000210,P0001072,2019-05-15,1762230.8,6243.94,arms_length
T00000211,P0003008,2021-03-15,4209533.58,9195.19,arms_length
T00000212,P0003008,2025-09-15,4113608.74,8985.66,arms_length
T00000213,P0000388,2019-09-15,821655.15,7509.84,arms_length
T00000214,P0000388,2023-01-15,974804.17,8909.61,arms_length
T00000215,P0000388,2024-12-15,560794.85,5125.61,arms_length
T00000216,P0001992,2021-01-15,294512.41,5320.43,arms_length
T00000217,P0002931,2023-03-15,710576.89,6489.62,arms_length
T00000218,P0002931,2024-12-15,704312.12,6432.41,arms_length
T00000219,P0002931,2025-07-15,940560.71,8590.04,arms_length
T00000220,P0001447,2019-11-15,358363.99,5857.3,arms_length
T00000221,P0002839,2019-02-15,894474.29,7209.78,arms_length
T00000222,P0002839,2024-01-15,1141959.36,9204.6,arms_length
T00000223,P0002839,2025-10-15,1106781.64,8921.05,arms_length
T00000224,P0000185,2021-02-15,400920.31,6646.28,arms_length
T00000225,P0000185,2022-09-15,635554.13,10535.94,arms_length
T00000226,P0000185,2023-10-15,335305.72,5558.55,arms_length
T00000227,P0000255,2020-05-15,1254256.97,6226.96,arms_length
T00000228,P0000255,2021-08-15,1314819.17,6527.63,arms_length
T00000229,P0000255,2024-10-15,1385556.66,6878.82,arms_length
T00000230,P0000508,2022-03-15,553100.18,6368.84,arms_length
T00000231,P0000443,2022-12-15,1348246.71,7045.2,arms_length
T00000232,P0000946,2021-06-15,1127593.85,9242.96,arms_length
T00000233,P0000946,2022-12-15,848551.11,6955.63,arms_length
T00000234,P0000946,2024-02-15,857193.75,7026.48,arms_length
T00000235,P0001731,2020-05-15,287751.58,7052.41,arms_length
T00000236,P0001731,2021-03-15,227290.26,5570.59,arms_length
T00000237,P0000810,2025-11-15,929276.41,7782.24,arms_length
T00000238,P0000315,2021-09-15,1266234.2,7543.95,arms_length
T00000239,P0000632,2024-06-15,169558.01,8268.06,arms_length
T00000240,P0001207,2021-11-15,487610.11,7863.04,arms_length
T00000241,P0000045,2019-07-15,753819.38,6820.66,arms_length
T00000242,P0002416,2021-04-15,1834963.68,9171.46,arms_length
T00000243,P0002416,2022-02-15,1611263.87,8053.37,arms_length
T00000244,P0000597,2019-08-15,4022843.75,6501.42,arms_length
T00000245,P0000597,2022-05-15,4161825.81,6726.03,arms_length
T00000246,P0000597,2023-01-15,4257812.33,6881.16,arms_length
T00000247,P0000140,2019-04-15,986253.04,7724.39,arms_length
T00000248,P0000140,2022-11-15,715163.64,5601.2,arms_length
T00000249,P0000140,2025-03-15,994751.13,7790.95,arms_length
T00000250,P0001152,2023-06-15,1208306.56,12546.41,arms_length
T00000251,P0001152,2024-01-15,832494.25,8644.17,arms_length
T00000252,P0002523,2022-02-15,1881214.96,7103.96,arms_length
T00000253,P0002523,2024-12-15,2764812.71,10440.66,arms_length
T00000254,P0002326,2024-04-15,853286.4,9673.09,arms_length
T00000255,P0002720,2023-03-15,1250774.14,5683.95,arms_length
T00000256,P0002595,2021-03-15,484990.28,6354.75,arms_length
T00000257,P0002595,2025-06-15,930462.8,12191.7,arms_length
T00000258,P0001941,2019-11-15,898874.52,6823.84,arms_length
T00000259,P0000415,2021-05-15,1548607.27,8130.78,arms_length
T00000260,P0000415,2022-10-15,1317767.09,6918.78,arms_length
T00000261,P0000415,2025-04-15,1605606.37,8430.05,arms_length
T00000262,P0002253,2019-01-15,240825.08,6551.08,arms_length
T00000263,P0002253,2021-09-15,261143.01,7103.78,arms_length
T00000264,P0000706,2021-12-15,1038987.34,7763.09,arms_length
T00000265,P0000706,2024-06-15,1010230.4,7548.22,arms_length
T00000266,P0000706,2025-12-15,1132856.57,8464.46,arms_length
T00000267,P0002863,2019-03-15,549655.44,7374.38,arms_length
T00000268,P0002863,2021-12-15,488931.8,6559.69,arms_length
T00000269,P0003188,2022-06-15,2033349.01,11155.98,arms_length
T00000270,P0001719,2020-08-15,2016392.05,6289.67,arms_length
T00000271,P0001719,2025-06-15,2923275.9,9118.48,arms_length
T00000272,P0002443,2023-12-15,1015326.69,8778.78,arms_length
T00000273,P0002443,2024-02-15,1003903.03,8680.01,arms_length
T00000274,P0002443,2025-01-15,947743.0,8194.43,arms_length
T00000275,P0000888,2024-02-15,1353215.74,9193.43,arms_length
T00000276,P0002744,2023-07-15,767935.34,8322.91,arms_length
T00000277,P0002744,2024-05-15,718958.89,7792.1,arms_length
T00000278,P0000694,2022-10-15,592332.07,7333.06,arms_length
T00000279,P0002625,2024-02-15,1736644.07,7889.52,arms_length
T00000280,P0002625,2025-02-15,2342183.54,10640.47,arms_length
T00000281,P0002020,2021-09-15,830832.74,6198.41,arms_length
T00000282,P0002465,2020-04-15,2412218.67,6781.78,arms_length
T00000283,P0002465,2023-06-15,1950496.93,5483.68,arms_length
T00000284,P0002465,2024-01-15,2933445.54,8247.17,arms_length
T00000285,P0002929,2019-10-15,1146561.72,5463.27,arms_length
T00000286,P0002929,2023-04-15,1854187.11,8835.05,arms_length
T00000287,P0002929,2025-05-15,1913662.6,9118.45,arms_length
T00000288,P0002211,2019-03-15,633627.75,5990.05,arms_length
T00000289,P0002211,2023-01-15,728559.63,6887.5,arms_length
T00000290,P0002211,2024-07-15,754607.53,7133.75,arms_length
T00000291,P0001707,2019-09-15,519988.93,4407.01,arms_length
T00000292,P0000480,2020-03-15,178969.78,6486.28,arms_length
T00000293,P0000480,2023-03-15,250576.01,9081.46,arms_length
T00000294,P0001438,2022-02-15,394393.64,6185.65,arms_length
T00000295,P0001438,2024-12-15,385871.71,6051.99,arms_length
T00000296,P0000053,2020-09-15,990520.2,5696.32,arms_length
T00000297,P0000241,2019-05-15,451660.6,5248.63,arms_length
T00000298,P0002650,2020-04-15,334652.32,7126.66,arms_length
T00000299,P0000052,2021-04-15,1108986.92,7697.5,arms_length
T00000300,P0000052,2022-07-15,1185225.83,8226.68,arms_length
T00000301,P0000052,2023-08-15,1309074.07,9086.31,arms_length
T00000302,P0001964,2019-04-15,1186899.27,5783.36,arms_length
T00000303,P0001964,2023-07-15,1790185.01,8722.97,arms_length
T00000304,P0000064,2020-07-15,987770.15,7866.45,arms_length
T00000305,P0002999,2025-05-15,934047.95,7483.32,arms_length
T00000306,P0000195,2022-10-15,1023417.41,8274.34,arms_length
T00000307,P0000450,2022-11-15,914505.33,8627.97,arms_length
T00000308,P0000450,2025-08-15,799806.54,7545.84,arms_length
T00000309,P0002441,2020-05-15,838037.39,8241.33,arms_length
T00000310,P0002441,2023-04-15,683782.45,6724.37,arms_length
T00000311,P0001468,2019-02-15,2236569.93,7555.29,arms_length
T00000312,P0001468,2025-01-15,2143779.51,7241.84,arms_length
T00000313,P0001345,2019-10-15,317902.88,6597.18,arms_length
T00000314,P0001345,2022-01-15,460649.26,9559.47,arms_length
T00000315,P0000240,2019-09-15,396009.7,4672.79,arms_length
T00000316,P0000240,2025-09-15,715105.34,8438.01,arms_length
T00000317,P0001661,2023-01-15,969299.79,7078.23,arms_length
T00000318,P0000121,2021-06-15,1152468.33,5312.94,arms_length
T00000319,P0000121,2023-11-15,1343782.21,6194.9,arms_length
T00000320,P0000121,2025-09-15,1695946.71,7818.4,arms_length
T00000321,P0002167,2019-06-15,792743.99,6719.32,arms_length
T00000322,P0002167,2020-07-15,1060943.16,8992.58,arms_length
T00000323,P0000325,2020-09-15,2232113.64,6653.57,arms_length
T00000324,P0000963,2019-11-15,752541.59,7079.58,arms_length
T00000325,P0000299,2022-12-15,1339773.29,7787.6,arms_length
T00000326,P0000299,2023-11-15,1548906.63,9003.22,arms_length
T00000327,P0000299,2024-11-15,1340777.57,7793.44,arms_length
T00000328,P0000071,2021-04-15,1116290.03,5524.93,arms_length
T00000329,P0000071,2022-10-15,1399329.02,6925.8,arms_length
T00000330,P0000071,2023-10-15,1579864.22,7819.33,arms_length
T00000331,P0001134,2019-11-15,790800.59,5996.54,arms_length
T00000332,P0001134,2020-12-15,829933.86,6293.28,arms_length
T00000333,P0001134,2023-12-15,732302.65,5552.95,arms_length
T00000334,P0000677,2019-07-15,850886.28,6364.89,arms_length
T00000335,P0001139,2020-12-15,692733.58,7348.37,arms_length
T00000336,P0001139,2024-08-15,689890.13,7318.2,arms_length
T00000337,P0001139,2025-07-15,1043952.83,11074.02,arms_length
T00000338,P0001781,2019-02-15,745181.65,6135.26,arms_length
T00000339,P0001781,2021-03-15,629783.39,5185.16,arms_length
T00000340,P0001781,2023-09-15,848039.23,6982.12,arms_length
T00000341,P0000271,2019-04-15,787762.01,6763.4,arms_length
T00000342,P0000271,2021-06-15,915913.73,7863.66,arms_length
T00000343,P0000179,2020-03-15,365464.67,8381.93,arms_length
T00000344,P0000179,2022-09-15,402741.64,9236.88,arms_length
T00000345,P0000179,2023-12-15,403387.61,9251.69,arms_length
T00000346,P0002335,2020-05-15,328492.63,6308.51,arms_length
T00000347,P0002335,2022-05-15,414074.45,7952.06,arms_length
T00000348,P0002335,2025-12-15,526219.87,10105.74,arms_length
T00000349,P0000865,2019-06-15,492595.33,7202.02,arms_length
T00000350,P0002922,2025-11-15,569477.22,8220.26,arms_length
T00000351,P0001318,2019-01-15,630627.77,7741.4,arms_length
T00000352,P0000292,2020-08-15,544814.73,9302.9,arms_length
T00000353,P0000292,2022-04-15,538314.83,9191.91,arms_length
T00000354,P0000292,2024-05-15,531324.74,9072.55,arms_length
T00000355,P0001272,2019-04-15,728119.94,8451.46,arms_length
T00000356,P0001272,2024-06-15,866151.53,10053.63,arms_length
T00000357,P0002980,2024-12-15,1480592.76,7110.33,arms_length
T00000358,P0001994,2020-10-15,1596898.2,7105.04,arms_length
T00000359,P0001994,2021-11-15,1552562.95,6907.78,arms_length
T00000360,P0001994,2025-02-15,1620578.69,7210.4,arms_length
T00000361,P0001801,2022-10-15,2163885.65,9384.73,arms_length
T00000362,P0001801,2023-12-15,1635575.29,7093.46,arms_length
T00000363,P0001801,2024-08-15,2058369.59,8927.11,arms_length
T00000364,P0001004,2023-05-15,876066.07,8468.45,arms_length
T00000365,P0002814,2021-03-15,1185649.06,5431.79,arms_length
T00000366,P0000458,2021-02-15,556283.15,6501.31,arms_length
T00000367,P0000458,2024-02-15,593207.31,6932.84,arms_length
T00000368,P0000458,2025-11-15,571686.68,6681.33,arms_length
T00000369,P0000528,2021-02-15,431326.45,8080.04,arms_length
T00000370,P0001949,2020-06-15,396472.61,6031.14,arms_length
T00000371,P0001949,2024-03-15,459832.68,6994.97,arms_length
T00000372,P0002607,2022-08-15,427099.02,8092.13,arms_length
T00000373,P0002755,2022-01-15,446328.37,8028.42,arms_length
T00000374,P0000927,2020-10-15,715651.93,7743.73,arms_length
T00000375,P0000927,2024-07-15,765359.7,8281.59,arms_length
T00000376,P0002196,2020-01-15,288091.4,4485.18,arms_length
T00000377,P0000679,2024-09-15,1394378.16,7813.27,arms_length
T00000378,P0000219,2020-12-15,247705.24,6052.16,arms_length
T00000379,P0000219,2025-11-15,348505.68,8515.0,arms_length
T00000380,P0002255,2024-12-15,1679522.33,8011.52,arms_length
T00000381,P0002255,2025-08-15,2102343.85,10028.42,arms_length
T00000382,P0001508,2022-12-15,671363.65,6263.83,arms_length
T00000383,P0001508,2024-02-15,812451.0,7580.18,arms_length
T00000384,P0002468,2020-01-15,574759.68,6086.53,arms_length
T00000385,P0002468,2021-03-15,564273.0,5975.48,arms_length
T00000386,P0002468,2024-12-15,502928.22,5325.86,arms_length
T00000387,P0000411,2019-11-15,1492117.5,6657.52,arms_length
T00000388,P0000411,2022-03-15,1660589.04,7409.2,arms_length
T00000389,P0000347,2025-03-15,560081.83,8015.58,arms_length
T00000390,P0001767,2020-09-15,864700.7,7090.31,arms_length
T00000391,P0001767,2022-12-15,1161556.76,9524.45,arms_length
T00000392,P0001767,2023-10-15,995021.06,8158.9,arms_length
T00000393,P0001243,2021-05-15,349440.85,6960.83,arms_length
T00000394,P0000728,2024-01-15,409256.74,7391.63,arms_length
T00000395,P0001663,2022-09-15,711118.29,8350.82,arms_length
T00000396,P0001663,2024-03-15,643431.7,7555.96,arms_length
T00000397,P0001663,2025-03-15,745345.23,8752.75,arms_length
T00000398,P0000323,2019-08-15,500885.67,6604.42,arms_length
T00000399,P0000323,2025-09-15,851293.93,11224.73,arms_length
T00000400,P0003053,2024-01-15,1017959.02,7801.77,arms_length
T00000401,P0000077,2023-04-15,861130.17,6498.0,arms_length
T00000402,P0000077,2025-11-15,986563.1,7444.5,arms_length
T00000403,P0001860,2020-04-15,617511.36,4796.53,arms_length
T00000404,P0001860,2023-07-15,1148244.02,8919.01,arms_length
T00000405,P0001115,2020-02-15,1021196.3,5692.86,arms_length
T00000406,P0001115,2022-05-15,1503368.29,8380.82,arms_length
T00000407,P0001115,2025-01-15,2093055.63,11668.14,arms_length
T00000408,P0001037,2020-05-15,355928.94,6592.51,arms_length
T00000409,P0001037,2021-04-15,429685.5,7958.63,arms_length
T00000410,P0001037,2024-04-15,429153.99,7948.78,arms_length
T00000411,P0000145,2021-06-15,1372303.63,6810.44,arms_length
T00000412,P0000204,2022-02-15,1023564.06,5574.35,arms_length
T00000413,P0000204,2023-09-15,1119684.47,6097.83,arms_length
T00000414,P0000433,2019-09-15,580649.01,5591.07,arms_length
T00000415,P0000433,2023-10-15,882501.53,8497.61,arms_length
T00000416,P0000046,2019-10-15,983026.9,5787.02,arms_length
T00000417,P0000046,2022-06-15,1277650.15,7521.45,arms_length
T00000418,P0003055,2023-07-15,1013907.15,9800.16,arms_length
T00000419,P0002699,2020-02-15,11231249.24,6239.58,arms_length
T00000420,P0002699,2021-10-15,15280184.69,8488.99,arms_length
T00000421,P0002699,2023-12-15,17696818.41,9831.57,arms_length
T00000422,P0001768,2022-09-15,3827019.82,10046.18,arms_length
T00000423,P0001768,2023-07-15,3247208.82,8524.14,arms_length
T00000424,P0001768,2024-04-15,3092044.24,8116.82,arms_length
T00000425,P0003190,2022-08-15,1615283.54,7658.21,arms_length
T00000426,P0003190,2024-01-15,1752590.38,8309.19,arms_length
T00000427,P0002954,2020-04-15,1214401.9,7022.59,arms_length
T00000428,P0002954,2023-03-15,1500968.18,8679.74,arms_length
T00000429,P0001879,2020-10-15,307999.52,5791.85,arms_length
